device_id,timestamp,temp_c,humidity,battery_v,status
SH-009,2026-09-24T02:08:00,19.77,44.3,3.5,offline
SH-008,2026-09-24T18:34:00,24.77,41.6,3.9,offline
SH-006,2026-09-24T15:42:00,22.1,51.4,3.6,offline
SH-009,2026-09-24T10:31:00,21.15,43.1,3.75,online
SH-002,2026-09-24T10:23:00,21.68,42.5,3.59,idle
SH-010,2026-09-24T20:36:00,22.67,45.8,3.6,idle
SH-009,2026-09-24T02:03:00,23.85,58.6,3.51,online
SH-006,2026-09-24T16:44:00,19.0,34.3,3.62,online
SH-008,2026-09-24T04:50:00,18.88,51.2,3.65,online
SH-006,2026-09-24T02:15:00,25.31,29.9,3.48,offline
SH-003,2026-09-24T12:38:00,20.76,46.7,3.58,idle
SH-008,2026-09-24T23:24:00,17.75,57.6,3.51,online
SH-003,2026-09-24T17:39:00,23.33,48.9,3.94,offline
SH-004,2026-09-24T18:16:00,23.39,46.4,3.59,offline
SH-006,2026-09-24T17:13:00,17.41,40.5,3.83,offline
SH-009,2026-09-24T18:51:00,22.69,45.2,3.57,offline
SH-004,2026-09-24T12:19:00,24.21,43.0,3.64,offline
SH-005,2026-09-24T03:04:00,23.12,38.7,3.4,online
SH-001,2026-09-24T20:09:00,23.9,42.7,3.53,offline
SH-002,2026-09-24T10:48:00,17.79,46.6,3.63,idle
SH-001,2026-09-24T12:00:00,22.99,38.9,3.84,idle
SH-001,2026-09-24T08:53:00,21.09,38.5,3.63,idle
SH-009,2026-09-24T04:22:00,20.55,34.1,3.81,idle
SH-009,2026-09-24T22:14:00,24.61,48.1,3.7,idle
SH-009,2026-09-24T18:45:00,26.44,49.4,3.84,offline
SH-001,2026-09-24T15:27:00,27.38,46.9,3.59,online
SH-001,2026-09-24T09:39:00,25.94,52.7,3.96,online
SH-003,2026-09-24T19:44:00,21.67,45.7,3.53,online
SH-006,2026-09-24T13:05:00,23.06,48.1,3.49,offline
SH-004,2026-09-24T10:38:00,24.3,47.4,3.42,idle
SH-005,2026-09-24T10:48:00,22.36,44.3,3.95,idle
SH-002,2026-09-24T05:27:00,22.39,40.8,3.72,idle
SH-008,2026-09-24T02:12:00,24.47,62.7,3.55,idle
SH-004,2026-09-24T13:18:00,21.82,41.4,3.79,idle
SH-001,2026-09-24T21:18:00,19.81,39.7,3.7,online
SH-008,2026-09-24T01:31:00,20.76,48.5,3.89,online
SH-010,2026-09-24T20:35:00,23.9,47.0,3.37,offline
SH-001,2026-09-24T19:51:00,22.01,33.8,3.56,idle
SH-005,2026-09-24T06:38:00,23.02,54.0,3.53,online
SH-009,2026-09-24T15:09:00,24.01,44.2,3.3,idle
SH-008,2026-09-24T03:57:00,20.88,36.1,3.76,idle
SH-009,2026-09-24T18:11:00,24.27,54.5,3.56,online
SH-005,2026-09-24T16:48:00,23.14,50.0,3.71,online
SH-004,2026-09-24T08:30:00,18.3,34.9,3.95,offline
SH-008,2026-09-24T01:37:00,26.33,59.2,3.55,online
SH-002,2026-09-24T23:17:00,20.5,50.3,3.54,online
SH-003,2026-09-24T10:41:00,17.03,44.9,3.62,idle
SH-007,2026-09-24T21:26:00,18.86,57.7,3.75,idle
SH-007,2026-09-24T16:16:00,18.94,46.3,3.51,offline
SH-002,2026-09-24T18:40:00,22.16,44.8,3.51,offline
SH-006,2026-09-24T18:14:00,21.18,39.7,3.76,online
SH-004,2026-09-24T04:40:00,20.99,49.7,3.66,idle
SH-006,2026-09-24T08:44:00,23.86,48.8,3.29,online
SH-010,2026-09-24T11:12:00,23.02,45.1,3.42,idle
SH-001,2026-09-24T11:56:00,22.95,38.7,3.83,online
SH-010,2026-09-24T01:03:00,23.23,46.0,3.66,online
SH-005,2026-09-24T13:07:00,23.85,44.4,3.49,offline
SH-008,2026-09-24T03:42:00,15.68,34.3,3.57,online
SH-005,2026-09-24T17:50:00,20.91,33.2,3.6,idle
SH-004,2026-09-24T16:23:00,15.46,49.5,3.71,online
SH-008,2026-09-24T22:08:00,22.11,24.2,3.4,offline
SH-007,2026-09-24T17:52:00,21.99,46.6,3.47,offline
SH-002,2026-09-24T08:47:00,25.14,41.2,3.64,idle
SH-008,2026-09-24T23:13:00,25.56,55.5,3.59,offline
SH-008,2026-09-24T09:51:00,22.61,41.1,3.69,idle
SH-004,2026-09-24T07:49:00,20.5,50.3,3.42,online
SH-010,2026-09-24T21:43:00,23.46,41.8,3.65,online
SH-007,2026-09-24T08:53:00,20.42,45.9,3.76,online
SH-004,2026-09-24T01:49:00,22.0,50.9,3.67,online
SH-001,2026-09-24T11:16:00,24.96,41.3,3.62,online
SH-007,2026-09-24T19:05:00,20.33,53.0,3.59,online
SH-003,2026-09-24T04:32:00,24.42,37.1,3.47,idle
SH-008,2026-09-24T11:06:00,24.03,47.4,3.59,online
SH-006,2026-09-24T03:07:00,19.14,52.4,3.79,idle
SH-005,2026-09-24T16:28:00,24.92,50.3,3.58,idle
SH-002,2026-09-24T11:25:00,24.1,60.3,3.47,offline
SH-008,2026-09-24T07:55:00,22.31,38.9,3.53,idle
SH-002,2026-09-24T05:26:00,19.71,34.0,3.63,offline
SH-005,2026-09-24T13:32:00,19.42,37.0,3.54,idle
SH-009,2026-09-24T16:04:00,20.39,50.3,3.67,online
SH-010,2026-09-24T22:34:00,23.63,49.0,3.68,idle
SH-010,2026-09-24T10:29:00,19.13,45.8,3.73,idle
SH-010,2026-09-24T03:51:00,23.31,36.0,3.81,idle
SH-006,2026-09-24T19:59:00,18.27,51.1,3.75,idle
SH-003,2026-09-24T15:06:00,21.39,35.2,3.46,idle
SH-009,2026-09-24T16:48:00,22.33,54.3,3.46,online
