device_id,timestamp,temperature_c,humidity,battery_v,status,firmware_v
SH-006,2026-09-25T00:22:00,18.61,38.0,3.58,online,v2.4.0
SH-009,2026-09-25T16:22:00,20.07,43.8,3.76,offline,v2.4.0
SH-009,2026-09-25T14:13:00,25.58,42.1,3.56,idle,v2.3.1
SH-001,2026-09-25T01:17:00,25.71,37.4,3.58,online,v2.3.1
SH-002,2026-09-25T21:49:00,20.56,45.5,3.64,offline,v2.4.0
,2026-09-25T05:17:00,22.69,49.0,3.37,offline,v2.4.0
SH-008,2026-09-25T06:07:00,21.7,53.1,3.5,online,v2.3.1
SH-009,2026-09-25T04:25:00,18.26,37.7,3.71,idle,v2.3.1
SH-002,2026-09-25T08:00:00,22.27,42.8,3.65,idle,v2.3.1
SH-003,2026-09-25T04:13:00,23.11,34.4,3.61,online,v2.4.0
SH-010,2026-09-25T08:20:00,18.81,54.9,3.66,offline,v2.3.1
SH-010,2026-09-25T19:29:00,22.72,54.8,3.43,idle,v2.4.0
SH-007,2026-09-25T10:50:00,25.4,41.9,3.63,idle,v2.3.1
SH-004,2026-09-25T22:09:00,16.86,57.0,3.51,online,v2.4.0
SH-008,2026-09-25T10:47:00,22.58,40.3,3.66,online,v2.4.0
SH-002,2026-09-25T06:38:00,24.37,39.5,3.85,offline,v2.4.0
SH-007,2026-09-25T18:55:00,25.1,40.1,3.41,online,v2.3.1
SH-005,2026-09-25T19:40:00,18.67,44.7,3.84,online,v2.3.1
SH-009,2026-09-25T20:41:00,20.84,47.2,3.51,offline,v2.3.1
SH-010,2026-09-25T21:21:00,22.12,42.2,3.68,offline,v2.4.0
SH-005,2026-09-25T00:36:00,25.18,49.2,3.46,offline,v2.3.1
SH-002,2026-09-25T12:18:00,27.91,48.8,3.55,offline,v2.3.1
SH-010,2026-09-25T06:26:00,22.69,57.6,3.43,idle,v2.3.1
SH-007,2026-09-25T05:52:00,25.86,39.5,3.79,offline,v2.3.1
SH-003,2026-09-25T05:47:00,21.48,52.3,3.91,idle,v2.4.0
SH-002,2026-09-25T19:46:00,20.95,44.9,3.52,idle,v2.3.1
SH-004,2026-09-25T19:00:00,25.26,51.7,3.55,offline,v2.3.1
SH-007,2026-09-25T05:07:00,26.92,50.0,3.78,online,v2.3.1
SH-004,2026-09-25T09:49:00,27.66,29.1,3.48,online,v2.3.1
SH-002,2026-09-25T17:47:00,19.86,49.0,3.41,idle,v2.4.0
SH-004,2026-09-25T03:33:00,19.0,34.7,3.71,idle,v2.4.0
SH-010,2026-09-25T15:07:00,27.03,50.7,3.6,idle,v2.4.0
SH-004,2026-09-25T10:31:00,15.64,48.6,3.8,online,v2.3.1
SH-010,2026-09-25T22:15:00,21.37,44.4,3.6,idle,v2.4.0
SH-005,2026-09-25T17:44:00,20.15,51.2,3.34,online,v2.3.1
SH-010,2026-09-25T05:33:00,26.23,49.7,3.9,offline,v2.4.0
SH-010,2026-09-25T20:02:00,22.42,55.5,3.55,offline,v2.3.1
SH-009,2026-09-25T19:10:00,23.62,35.5,3.7,online,v2.4.0
SH-001,2026-09-25T05:06:00,22.54,52.1,3.61,idle,v2.4.0
SH-004,2026-09-25T12:26:00,21.24,40.7,3.41,idle,v2.4.0
SH-009,2026-09-25T19:03:00,23.76,45.8,3.33,online,v2.3.1
SH-005,2026-09-25T05:33:00,19.19,43.4,3.78,idle,v2.3.1
SH-007,2026-09-25T05:52:00,18.88,44.8,3.69,idle,v2.4.0
SH-004,2026-09-25T03:58:00,20.71,49.1,3.88,online,v2.3.1
SH-007,2026-09-25T00:10:00,21.42,44.1,3.63,idle,v2.3.1
SH-005,2026-09-25T11:56:00,19.81,34.7,3.63,online,v2.3.1
SH-009,2026-09-25T00:23:00,22.34,62.2,3.54,idle,v2.3.1
SH-003,2026-09-25T13:59:00,28.64,46.7,3.36,online,v2.4.0
SH-002,2026-09-25T09:58:00,21.19,43.8,3.71,idle,v2.3.1
SH-010,2026-09-25T04:25:00,24.71,53.6,3.57,offline,v2.3.1
,2026-09-25T08:41:00,21.09,43.2,3.6,offline,v2.3.1
SH-005,2026-09-25T00:21:00,25.51,41.2,3.62,offline,v2.4.0
SH-002,2026-09-25T03:26:00,18.55,59.8,3.79,offline,v2.3.1
SH-004,2026-09-25T11:18:00,24.71,43.3,3.58,online,v2.4.0
SH-008,2026-09-25T01:51:00,23.07,59.1,3.5,online,v2.3.1
SH-010,2026-09-25T17:28:00,23.25,63.6,3.6,idle,v2.3.1
SH-001,2026-09-25T06:09:00,18.21,35.5,3.88,online,v2.4.0
SH-004,2026-09-25T22:02:00,20.61,33.3,3.65,online,v2.3.1
SH-002,2026-09-25T04:04:00,26.09,45.1,3.62,idle,v2.4.0
SH-005,2026-09-25T15:00:00,17.41,54.5,3.55,idle,v2.3.1
SH-001,2026-09-25T12:22:00,20.78,39.9,3.56,offline,v2.3.1
SH-007,2026-09-25T22:00:00,23.37,41.2,3.44,online,v2.3.1
SH-005,2026-09-25T14:49:00,27.9,34.2,3.52,offline,v2.3.1
SH-008,2026-09-25T20:45:00,25.63,55.8,3.62,online,v2.4.0
SH-002,2026-09-25T11:08:00,26.11,39.0,3.42,offline,v2.3.1
SH-005,2026-09-25T05:14:00,20.6,37.9,3.57,idle,v2.4.0
SH-008,2026-09-25T04:32:00,22.57,52.9,3.42,idle,v2.4.0
SH-003,2026-09-25T20:47:00,19.77,51.2,3.47,idle,v2.3.1
SH-003,2026-09-25T04:52:00,21.07,46.5,3.53,online,v2.3.1
SH-007,2026-09-25T17:32:00,22.33,37.1,3.6,offline,v2.3.1
SH-008,2026-09-25T12:39:00,19.72,42.8,3.58,online,v2.3.1
SH-002,2026-09-25T06:40:00,25.95,40.3,3.81,idle,v2.4.0
SH-004,2026-09-25T09:51:00,22.12,43.3,3.79,idle,v2.4.0
SH-007,2026-09-25T19:07:00,20.89,54.5,3.57,offline,v2.4.0
SH-010,2026-09-25T10:52:00,19.34,49.2,3.57,idle,v2.3.1
SH-007,2026-09-25T20:45:00,25.76,35.3,3.49,offline,v2.3.1
SH-006,2026-09-25T22:42:00,23.95,33.7,3.85,idle,v2.3.1
SH-007,2026-09-25T07:11:00,21.1,48.0,3.78,maintenance,v2.4.0
SH-002,2026-09-25T12:37:00,18.36,49.7,3.45,online,v2.4.0
SH-004,2026-09-25T12:38:00,24.36,39.8,3.59,online,v2.3.1
SH-006,2026-09-25T13:01:00,21.49,37.3,3.8,offline,v2.4.0
SH-004,2026-09-25T01:42:00,85.0,32.0,3.54,offline,v2.3.1
SH-001,2026-09-25T08:52:00,22.01,51.4,3.53,offline,v2.3.1
SH-003,2026-09-25T13:59:00,26.22,49.5,3.75,offline,v2.3.1
SH-001,2026-09-25T22:02:00,21.8,49.0,3.51,idle,v2.3.1
SH-008,2026-09-25T05:42:00,26.72,49.9,3.93,online,v2.3.1
SH-006,2026-09-25T15:27:00,24.37,41.4,3.65,idle,v2.3.1
SH-008,2026-09-25T18:21:00,17.93,46.1,3.53,idle,v2.3.1
SH-006,2026-09-25T22:11:00,21.08,40.9,3.18,online,v2.4.0
SH-007,2026-09-25T04:10:00,26.64,41.3,3.72,offline,v2.3.1
SH-006,2026-09-25T16:10:00,22.81,27.8,3.4,offline,v2.3.1
SH-010,2026-09-25T07:30:00,20.4,44.4,3.66,offline,v2.4.0
SH-004,2026-09-25T10:33:00,22.25,48.9,3.65,idle,v2.3.1
SH-009,2026-09-25T00:20:00,25.43,51.3,3.68,offline,v2.3.1
SH-001,2026-09-25T17:20:00,23.12,36.7,3.37,online,v2.4.0
SH-005,2026-09-25T00:46:00,21.42,58.1,3.5,idle,v2.3.1
SH-010,2026-09-25T08:58:00,16.91,55.6,3.68,idle,v2.4.0
SH-008,2026-09-25T11:55:00,27.03,39.0,3.69,idle,v2.4.0
SH-006,2026-09-25T16:03:00,19.21,150.0,3.83,offline,v2.3.1
SH-007,2026-09-25T11:14:00,25.17,51.3,3.49,offline,v2.3.1
SH-008,2026-09-25T20:07:00,17.34,44.5,3.4,offline,v2.3.1
SH-006,2026-09-25T03:03:00,20.33,41.2,3.36,online,v2.4.0
SH-009,2026-09-25T06:17:00,19.39,40.5,3.62,offline,v2.4.0
SH-002,2026-09-25T06:10:00,24.56,43.2,3.76,idle,v2.4.0
SH-007,2026-09-25T09:06:00,20.26,55.1,3.53,online,v2.3.1
SH-005,2026-09-25T00:04:00,23.7,41.5,3.51,idle,v2.3.1
SH-008,2026-09-25T10:18:00,27.22,44.2,3.73,idle,v2.3.1
SH-003,2026-09-25T09:08:00,22.37,53.1,3.61,online,v2.4.0
SH-001,2026-09-25T14:03:00,19.33,56.6,3.56,offline,v2.4.0
SH-009,2026-09-25T13:49:00,21.05,42.9,3.53,idle,v2.3.1
SH-001,2026-09-25T06:45:00,18.98,40.3,3.62,idle,v2.4.0
SH-008,2026-09-25T10:15:00,24.51,47.7,3.56,online,v2.3.1
SH-004,2026-09-25T12:04:00,24.09,50.3,3.68,idle,v2.3.1
SH-002,2026-09-25T20:02:00,22.91,37.9,3.48,offline,v2.4.0
SH-005,2026-09-25T01:50:00,18.82,65.4,3.64,online,v2.4.0
SH-001,2026-09-25T14:47:00,15.4,40.3,3.48,offline,v2.4.0
SH-008,2026-09-25T01:55:00,20.93,52.4,3.41,offline,v2.3.1
SH-002,2026-09-25T06:23:00,21.01,39.3,3.72,offline,v2.4.0
SH-008,2026-09-25T10:39:00,19.06,52.4,3.58,online,v2.3.1
SH-008,2026-09-25T19:27:00,19.31,61.0,3.5,offline,v2.4.0
SH-005,2026-09-25T08:04:00,20.86,41.8,3.43,offline,v2.3.1
SH-010,2026-09-25T11:59:00,24.35,31.4,3.54,idle,v2.4.0
SH-009,2026-09-25T13:53:00,15.72,49.7,3.78,offline,v2.4.0
SH-003,2026-09-25T18:12:00,20.5,45.7,3.64,offline,v2.3.1
SH-010,2026-09-25T09:29:00,24.69,32.1,3.76,idle,v2.4.0
SH-002,2026-09-25T13:35:00,15.46,58.9,3.69,online,v2.3.1
SH-009,2026-09-25T20:07:00,21.52,41.5,3.78,idle,v2.4.0
SH-008,2026-09-25T10:29:00,22.09,35.5,3.63,online,v2.4.0
SH-004,2026-09-25T22:30:00,22.31,59.8,3.72,online,v2.3.1
SH-006,2026-09-25T09:30:00,27.45,47.1,3.34,online,v2.3.1
SH-003,2026-09-25T10:23:00,21.92,49.3,3.65,offline,v2.3.1
SH-007,2026-09-25T00:32:00,19.93,49.1,3.3,idle,v2.3.1
SH-001,2026-09-25T12:47:00,20.65,62.1,3.74,online,v2.3.1
SH-006,2026-09-25T11:15:00,22.12,46.6,4.0,idle,v2.3.1
SH-008,2026-09-25T09:57:00,19.24,36.3,3.56,online,v2.3.1
SH-009,2026-09-25T14:57:00,17.36,23.5,3.82,online,v2.4.0
SH-001,2026-09-25T13:08:00,19.58,40.9,3.73,idle,v2.4.0
SH-006,2026-09-25T22:42:00,21.14,57.8,3.57,idle,v2.4.0
SH-009,2026-09-25T09:45:00,26.96,39.8,3.53,online,v2.3.1
SH-009,2026-09-25T10:26:00,20.08,40.3,3.68,offline,v2.3.1
SH-010,2026-09-25T19:29:00,20.18,56.9,3.63,online,v2.4.0
SH-007,2026-09-25T11:39:00,17.86,49.6,3.63,online,v2.3.1
SH-004,2026-09-25T06:00:00,26.02,40.8,3.58,online,v2.4.0
SH-007,2026-09-25T12:27:00,23.1,47.8,3.55,offline,v2.4.0
SH-003,2026-09-25T12:09:00,24.42,45.4,3.46,offline,v2.4.0
SH-008,2026-09-25T09:48:00,23.41,49.0,3.37,online,v2.3.1
SH-003,2026-09-25T12:44:00,19.86,45.9,3.59,online,v2.3.1
SH-006,2026-09-25T13:53:00,22.62,47.2,3.65,idle,v2.3.1
SH-005,2026-09-25T23:17:00,19.03,35.5,3.39,offline,v2.3.1
SH-004,2026-09-25T01:41:00,23.42,51.5,3.49,idle,v2.3.1
SH-009,2026-09-25T21:54:00,25.59,49.4,3.36,offline,v2.3.1
SH-004,2026-09-25T11:43:00,29.75,50.1,3.72,idle,v2.3.1
SH-007,2026-09-25T09:06:00,19.34,50.3,3.76,idle,v2.3.1
SH-001,2026-09-25T14:38:00,25.7,44.9,3.52,online,v2.4.0
SH-008,2026-09-25T02:46:00,24.64,42.8,3.58,offline,v2.4.0
SH-001,2026-09-25T17:51:00,18.51,19.8,3.65,offline,v2.4.0
SH-006,2026-09-25T02:15:00,22.73,46.2,3.56,online,v2.4.0
SH-005,2026-09-25T10:18:00,26.09,21.3,3.68,online,v2.3.1
SH-009,2026-09-25T04:50:00,20.11,48.0,3.87,offline,v2.4.0
SH-009,2026-09-25T07:16:00,23.32,50.8,3.75,offline,v2.3.1
SH-006,2026-09-25T11:18:00,21.52,50.5,3.72,online,v2.3.1
SH-008,2026-09-25T00:08:00,23.06,43.5,3.88,offline,v2.3.1
SH-002,2026-09-25T21:19:00,19.82,51.9,3.41,online,v2.3.1
SH-004,2026-09-25T18:09:00,22.28,56.0,low,online,v2.3.1
SH-006,2026-09-25T23:00:00,23.44,43.1,3.35,online,v2.4.0
SH-005,2026-09-25T01:51:00,20.38,44.2,3.86,idle,v2.3.1
SH-004,2026-09-25T04:13:00,19.52,55.2,3.71,idle,v2.4.0
SH-009,2026-09-25T11:45:00,21.81,46.6,3.59,online,v2.3.1
SH-002,2026-09-25T20:31:00,20.5,64.1,3.53,idle,v2.4.0
SH-008,2026-09-25T07:18:00,22.11,43.1,3.52,offline,v2.4.0
SH-003,2026-09-25T07:11:00,19.73,47.9,3.56,offline,v2.4.0
SH-007,2026-09-25T20:10:00,24.69,38.1,3.36,idle,v2.4.0
SH-006,2026-09-25T00:02:00,22.81,47.4,3.52,idle,v2.3.1
SH-009,2026-09-25T22:48:00,17.77,41.3,3.52,online,v2.4.0
SH-005,2026-09-25T04:33:00,26.37,32.1,3.47,idle,v2.3.1
SH-010,2026-09-25T07:39:00,19.5,29.7,3.52,idle,v2.3.1
SH-002,2026-09-25T07:46:00,20.99,48.1,3.56,offline,v2.4.0
SH-007,2026-09-25T21:32:00,25.45,38.4,3.63,idle,v2.3.1
SH-002,2026-09-25T19:42:00,19.62,44.1,3.72,online,v2.4.0
SH-010,2026-09-25T08:06:00,28.18,44.4,3.54,online,v2.3.1
SH-008,2026-09-25T08:11:00,15.02,41.5,3.3,idle,v2.3.1
SH-001,2026-09-25T19:29:00,13.33,58.5,3.57,offline,v2.3.1
SH-009,2026-09-25T06:47:00,22.67,43.2,3.48,offline,v2.3.1
SH-008,2026-09-25T19:10:00,17.69,40.3,3.6,online,v2.4.0
SH-003,2026-09-25T19:35:00,22.24,37.1,3.38,idle,v2.3.1
SH-001,2026-09-25T15:43:00,19.47,51.7,3.48,idle,v2.4.0
SH-001,2026-09-25T17:50:00,21.1,41.7,3.47,idle,v2.3.1
SH-003,2026-09-25T05:29:00,22.87,54.8,3.65,offline,v2.3.1
SH-002,2026-09-25T13:29:00,22.3,49.2,3.48,online,v2.4.0
SH-004,2026-09-25T03:18:00,21.24,41.2,3.47,idle,v2.3.1
SH-007,2026-09-25T01:23:00,20.58,48.5,3.55,online,v2.3.1
